,CompressionDrift,RibbonRider,BeatTheMarket,Combined,Combined_eqrisk
2026-05-06,0.0,1595.0000000000136,0.0,1595.0000000000136,2225.706514184428
2026-05-07,0.0,-518.4214579580976,-409.3,-927.7214579580975,-899.4699697517796
2026-05-08,-1085.8931626849255,0.0,4650.7,3564.8068373150745,1652.612402385606
2026-05-11,-1092.8491391239452,350.0000000000091,0.0,-742.8491391239361,138.3977477753573
2026-05-12,1734.6311433041674,579.9999999999704,-933.6,1381.031143304138,963.3246900125887
2026-05-13,-1526.5620402610737,1355.0000000000045,775.6999999999999,604.1379597389308,1735.547563994381
2026-05-14,-626.1165274472529,-159.99999999993864,1261.4,475.2834725528086,118.76894419043083
2026-05-15,-282.5970743102316,0.0,0.0,-282.5970743102316,-90.50607386336432
2026-05-18,-2070.1456438661,0.0,0.0,-2070.1456438661,-662.9960873055069
2026-05-19,0.0,0.0,-1859.3,-1859.3,-799.733054388044
2026-05-20,-1597.0253984662825,245.00000000004772,2541.4,1189.3746015337654,923.5295753285071
2026-05-21,-1882.5471062377521,0.0,0.0,-1882.5471062377521,-602.914760757125
2026-05-22,3400.8,-1121.4261681432301,0.0,2279.3738318567703,-475.70999088244344
2026-05-25,0.0,0.0,0.0,0.0,0.0
2026-05-26,-168.78076185405737,94.9999999999568,-254.3,-328.0807618541006,-30.870063785851087
2026-05-27,-459.2045516601007,-192.5000000000091,-719.3000000000001,-1371.0045516601099,-725.0766431548014
2026-05-28,-506.7119242075602,-114.9999999999659,2350.7,1728.9880757924739,688.3404630344312
2026-05-29,-1042.8194973316306,0.0,-2269.3,-3312.1194973316306,-1310.0637024356038
2026-06-01,-678.0860548483587,0.0,-204.3,-882.3860548483588,-305.04224066597027
2026-06-02,-575.9542100580671,0.0,0.0,-575.9542100580671,-184.45822344291614
2026-06-03,-1014.231111290944,0.0,-4333.6,-5347.831111290944,-2188.8166910695654
2026-06-04,-1116.6725528304407,0.0,0.0,-1116.6725528304407,-357.6316166554323
2026-06-05,25135.8,0.0,15145.7,40281.5,14564.685413052448
2026-06-08,-2159.064291415952,-1336.7713603189054,-939.3,-4435.135651734858,-2960.858123749228
2026-06-09,-1481.8729191473044,0.0,2505.7,1023.8270808526954,603.173755750224
2026-06-10,6594.239059345306,-1845.2840522821953,0.0,4748.95500706311,-463.0528930337705
2026-06-11,3587.6700760311346,1022.5000000000229,-5014.3,-404.1299239688424,419.05088393809774
2026-06-12,0.0,-1870.3100026192055,-3889.3,-5759.610002619205,-4282.77019975798
2026-06-15,592.7046342210529,720.0000000000136,2250.7,3563.4046342210663,2162.6147730479147
2026-06-16,-341.26198521660444,-415.0000000000341,7430.700000000001,6674.438014783362,2507.739660587917
2026-06-17,-798.472698337349,0.0,0.0,-798.472698337349,-255.72320304443954
2026-06-18,-576.6124721272402,0.0,0.0,-576.6124721272402,-184.66904202835067
2026-06-19,-149.3149045170212,0.0,0.0,-149.3149045170212,-47.820402281600806
2026-06-22,0.0,0.0,0.0,0.0,0.0
2026-06-23,-1040.3955122008715,0.0,0.0,-1040.3955122008715,-333.20271734658803
2026-06-24,3531.1894141837715,0.0,-1824.3,1706.8894141837716,346.2392519460002
2026-06-25,0.0,0.0,-5399.299999999999,-5399.299999999999,-2322.3786804482147
2026-06-26,-1393.271458083294,0.0,0.0,-1393.271458083294,-446.21668431914975
2026-06-29,1397.1718166221658,0.0,2590.7,3987.8718166221656,1561.7929595923506
2026-06-30,1955.7263231226975,2554.999999999993,2925.7,7436.4263231226905,5450.087534840077
2026-07-01,-923.3511468728336,-472.4999999999818,0.0,-1395.8511468728154,-955.0568437793831
2026-07-02,-882.1098838767276,0.0,0.0,-882.1098838767276,-282.50930233661063
2026-07-03,0.0,0.0,0.0,0.0,0.0
2026-07-06,-1498.147293454314,455.0000000000272,0.0,-1043.1472934542867,155.11462417926003
2026-07-07,1523.9,0.0,-4589.3,-3065.4,-1485.9242245384937
2026-07-08,-1696.8762575504604,0.0,0.0,-1696.8762575504604,-543.450806338694
2026-07-09,-479.2998422065226,-901.2166611437486,-2949.3,-4329.816503350272,-2679.655753187124
2026-07-10,-514.8229278010638,566.7486440536051,0.0,51.92571625254129,625.9765327634216
