vm,interval,stop,window,confirm,max_rts,n,avg,t,sharpe,n_rec,avg_rec,t_rec,sharpe_rec
1.25,30,band_vwap,pm,2,99,4082.0,7.28,1.27,0.32,600.0,32.43,1.19,0.77
1.25,30,band_vwap,skip_lunch,1,2,4082.0,18.94,2.3,0.57,600.0,43.25,1.15,0.75
1.25,30,band_vwap,skip_lunch,1,99,4082.0,19.61,2.38,0.59,600.0,45.46,1.21,0.78
1.25,30,band_vwap,skip_lunch,2,2,4082.0,9.87,1.51,0.38,600.0,14.16,0.49,0.32
1.25,30,band_vwap,skip_lunch,2,99,4082.0,9.25,1.41,0.35,600.0,15.41,0.54,0.35
1.25,30,vwap,all,1,2,4082.0,24.44,2.54,0.63,600.0,81.43,1.78,1.15
1.25,30,vwap,all,1,99,4082.0,25.25,2.62,0.65,600.0,77.39,1.68,1.09
1.25,30,vwap,all,2,2,4082.0,15.9,2.05,0.51,600.0,36.8,1.05,0.68
1.25,30,vwap,all,2,99,4082.0,14.4,1.84,0.46,600.0,33.9,0.96,0.62
1.25,30,vwap,am,1,2,4082.0,20.65,2.56,0.64,600.0,63.64,1.61,1.04
1.25,30,vwap,am,1,99,4082.0,20.99,2.59,0.64,600.0,63.64,1.61,1.04
1.25,30,vwap,am,2,2,4082.0,10.45,1.71,0.42,600.0,17.22,0.61,0.39
1.25,30,vwap,am,2,99,4082.0,10.33,1.69,0.42,600.0,17.22,0.61,0.39
1.25,30,vwap,am_ext,1,2,4082.0,19.89,2.17,0.54,600.0,60.22,1.37,0.89
1.25,30,vwap,am_ext,1,99,4082.0,20.54,2.23,0.56,600.0,57.48,1.31,0.85
1.25,30,vwap,am_ext,2,2,4082.0,16.93,2.34,0.58,600.0,30.42,0.91,0.59
1.25,30,vwap,am_ext,2,99,4082.0,16.39,2.26,0.56,600.0,27.67,0.82,0.53
1.25,30,vwap,pm,1,2,4082.0,10.93,1.62,0.4,600.0,43.52,1.32,0.85
1.25,30,vwap,pm,1,99,4082.0,10.4,1.53,0.38,600.0,44.28,1.34,0.87
1.25,30,vwap,pm,2,2,4082.0,6.72,1.11,0.28,600.0,19.13,0.66,0.43
1.25,30,vwap,pm,2,99,4082.0,6.07,1.0,0.25,600.0,19.2,0.66,0.43
1.25,30,vwap,skip_lunch,1,2,4082.0,24.76,2.77,0.69,600.0,71.56,1.67,1.08
1.25,30,vwap,skip_lunch,1,99,4082.0,25.67,2.88,0.71,600.0,74.14,1.73,1.12
1.25,30,vwap,skip_lunch,2,2,4082.0,10.21,1.44,0.36,600.0,19.18,0.6,0.39
1.25,30,vwap,skip_lunch,2,99,4082.0,9.58,1.34,0.33,600.0,20.31,0.63,0.41
