date,net_pts,net_usd,gross_pts,round_trips,open,close,ret_frac,half_day
2023-03-20,0.5240000000005821,26.200000000029107,1.110000000000582,1,4354.37,4387.4,0.00012033887795492393,False
2023-03-21,0.0,0.0,0.0,0,4426.49,4446.86,0.0,False
2023-03-22,0.0,0.0,0.0,0,4443.83,4370.33,0.0,False
2023-03-23,0.7940000000001092,39.70000000000546,1.3800000000001091,1,4400.61,4377.76,0.00018042953136044985,False
2023-03-24,0.0,0.0,0.0,0,4363.17,4407.22,0.0,False
2023-03-27,0.0,0.0,0.0,0,4433.1,4415.75,0.0,False
2023-03-28,0.0,0.0,0.0,0,4406.94,4405.84,0.0,False
2023-03-29,0.0,0.0,0.0,0,4453.47,4469.16,0.0,False
2023-03-30,0.0,0.0,0.0,0,4498.06,4493.38,0.0,False
2023-03-31,25.797999999999345,1289.8999999999671,26.969999999999345,2,4503.84,4556.42,0.005728000994706594,False
2023-04-03,-12.976000000000328,-648.8000000000164,-12.390000000000327,1,4550.36,4573.49,-0.0028516425074060795,False
2023-04-04,1.334000000000073,66.70000000000364,1.9200000000000728,1,4580.92,4547.89,0.00029120787963991357,False
2023-04-05,0.0,0.0,0.0,0,4536.6,4533.57,0.0,False
2023-04-06,-8.296000000000037,-414.80000000000183,-7.710000000000036,1,4523.11,4550.36,-0.0018341362469628281,False
2023-04-10,0.0,0.0,0.0,0,4520.91,4555.87,0.0,False
2023-04-11,0.0,0.0,0.0,0,4561.1,4556.15,0.0,False
2023-04-12,-7.196000000000582,-359.8000000000291,-6.610000000000582,1,4578.72,4537.43,-0.0015716182688612936,False
2023-04-13,23.8880000000004,1194.4000000000199,25.0600000000004,2,4547.89,4595.24,0.005252545686021517,False
2023-04-14,-39.47799999999935,-1973.8999999999673,-37.719999999999345,3,4587.53,4584.22,-0.008605502307341717,False
2023-04-17,0.0,0.0,0.0,0,4581.75,4599.64,0.0,False
2023-04-18,0.0,0.0,0.0,0,4617.53,4602.12,0.0,False
2023-04-19,0.0,0.0,0.0,0,4578.99,4601.02,0.0,False
2023-04-20,0.0,0.0,0.0,0,4565.5,4573.49,0.0,False
2023-04-21,-19.62199999999982,-981.0999999999909,-18.449999999999818,2,4575.97,4576.24,-0.00428805258775731,False
2023-04-24,0.0,0.0,0.0,0,4573.49,4581.2,0.0,False
2023-04-25,28.558000000000472,1427.9000000000235,29.730000000000473,2,4556.97,4507.42,0.006266883477398462,False
2023-04-26,-11.3619999999996,-568.09999999998,-10.1899999999996,2,4513.2,4486.78,-0.002517504209873172,False
2023-04-27,33.5179999999996,1675.89999999998,34.6899999999996,2,4514.3,4574.04,0.00742484992136092,False
2023-04-28,6.8180000000006915,340.9000000000346,7.990000000000691,2,4563.58,4613.13,0.001494002515569069,False
2023-05-01,0.0,0.0,0.0,0,4607.35,4607.9,0.0,False
2023-05-02,30.695999999999962,1534.7999999999981,33.039999999999964,4,4599.36,4555.59,0.006673972030891246,False
2023-05-03,-9.115999999999746,-455.7999999999873,-8.529999999999745,1,4560.27,4522.84,-0.001999004444912197,False
2023-05-04,1.0639999999996363,53.19999999998182,1.6499999999996362,1,4509.35,4489.53,0.00023595418408409998,False
2023-05-05,27.214000000000183,1360.7000000000091,27.800000000000182,1,4530.54,4571.56,0.006006789477634053,False
2023-05-08,0.0,0.0,0.0,0,4574.86,4573.21,0.0,False
2023-05-09,0.0,0.0,0.0,0,4553.67,4552.57,0.0,False
2023-05-10,-9.946000000000582,-497.3000000000291,-9.360000000000582,1,4583.67,4572.39,-0.0021698769763095036,False
2023-05-11,-6.9159999999999275,-345.7999999999964,-6.329999999999927,1,4560.27,4563.03,-0.0015165768693520178,False
2023-05-12,-3.8959999999994905,-194.79999999997452,-3.3099999999994907,1,4575.97,4556.42,-0.0008514041831566838,False
2023-05-15,0.0,0.0,0.0,0,4561.93,4571.29,0.0,False
2023-05-16,0.0,0.0,0.0,0,4557.52,4539.9,0.0,False
2023-05-17,7.943999999999745,397.19999999998726,8.529999999999745,1,4562.75,4594.13,0.0017410552846418815,False
2023-05-18,6.807999999999564,340.3999999999782,7.979999999999563,2,4588.63,4637.08,0.0014836672383695272,False
2023-05-19,0.0,0.0,0.0,0,4646.44,4629.64,0.0,False
2023-05-22,0.0,0.0,0.0,0,4629.64,4631.02,0.0,False
