ticker,ep_id,start_ts_et,end_ts_et,n_comp_bars,spot_start,spot_end,datr14_prior,ema9_h,ema21_h,po,po_slope1,po_slope3,phase_zone,ema21_d,ema21_d_slope1,ema21_d_slope3
META,META-016,2024-10-18T11:30:00-04:00,2024-10-21T14:30:00-04:00,10,578.51,573.49,12.0386,578.6562,580.0082,-10.576,-2.718,18.487,neutral,572.938,0.4002,2.2389
META,META-017,2024-10-22T09:30:00-04:00,2024-10-22T13:30:00-04:00,4,577.74,581.6475,11.5391,574.9876,576.3873,-5.039,18.406,36.2,neutral,573.4236,0.1736,0.8858
META,META-018,2024-10-23T09:30:00-04:00,2024-10-23T11:30:00-04:00,2,579.34,570.13,11.5299,579.0307,578.0897,24.861,-12.938,-5.233,neutral_up,574.1915,0.7679,1.2535
META,META-019,2024-11-04T15:30:00-05:00,2024-11-07T09:30:00-05:00,15,560.65,586.55,13.3495,564.3904,569.0932,-58.789,-3.056,-7.473,neutral_down,575.0014,-0.7841,-0.1246
META,META-020,2024-11-12T09:30:00-05:00,2024-11-14T14:30:00-05:00,19,588.49,574.11,13.6901,584.7145,583.5248,19.301,16.013,17.882,neutral,577.0277,0.6392,3.6127
META,META-021,2024-11-19T15:30:00-05:00,2024-11-26T10:30:00-05:00,30,561.09,573.865,13.9497,557.3641,559.6899,-3.58,15.346,32.102,neutral,573.7802,-1.948,-4.1735
META,META-022,2024-12-05T15:30:00-05:00,2024-12-06T10:30:00-05:00,2,608.92,625.43,14.4656,609.4577,605.9201,22.312,0.459,-14.913,neutral,579.5446,3.4025,9.2114
META,META-023,2024-12-17T09:30:00-05:00,2024-12-18T15:30:00-05:00,13,617.93,597.64,14.6949,623.847,624.38,-14.199,-23.769,-29.093,neutral,602.5325,2.1937,7.4468
META,META-024,2024-12-23T13:30:00-05:00,2024-12-23T15:30:00-05:00,2,599.3526,599.95,16.4886,596.6315,600.5377,-12.21,6.409,34.847,neutral,600.7006,-2.0701,-3.3698
META,META-025,2024-12-27T12:30:00-05:00,2024-12-27T13:30:00-05:00,1,593.18,595.37,15.7073,596.9761,599.4943,-43.118,2.516,-14.468,neutral_down,601.4695,0.19,0.7689
META,META-026,2024-12-31T14:30:00-05:00,2025-01-03T12:30:00-05:00,12,590.5,605.265,15.4672,590.0118,592.8092,-31.275,14.162,5.443,neutral_down,600.3816,-0.9462,-0.8979
META,META-027,2025-01-08T13:30:00-05:00,2025-01-14T09:30:00-05:00,17,614.56,597.7089,16.5932,613.6591,612.9936,-1.174,8.563,6.327,neutral,603.7343,1.3936,4.6777
META,META-028,2025-01-17T14:30:00-05:00,2025-01-22T11:30:00-05:00,11,613.89,631.085,17.6632,613.5239,612.3916,8.624,-0.376,0.441,neutral,606.2603,0.511,0.5868
META,META-029,2025-01-30T14:30:00-05:00,2025-01-31T10:30:00-05:00,3,690.805,699.9884,18.9486,685.7346,677.2292,43.19,2.515,-12.905,neutral_up,628.7937,4.7836,13.8879
META,META-030,2025-02-03T10:30:00-05:00,2025-02-07T15:30:00-05:00,33,697.12,714.26,20.0478,692.6309,687.3979,26.096,8.025,5.022,neutral_up,639.0921,5.0078,15.082
