date,open,prev_close,atr_14,call_trigger,put_trigger,call_time,pdc_cross_time,put_time,put_halfhour,opened_above_call,call_to_put_min,pdc_cross_to_put_min,pdc_return,pdc_return_time,pdc_return_min,call_return,call_return_time,call_return_min,bull_gg_return,bull_gg_return_time,down_0382,down_050,down_0618,down_0786,down_100,down_1236,down_1382,down_150,down_1618,down_1786,down_200,down_0382_time,down_0618_time,down_100_time,first_resolution,close,close_zone,lowest_atr_after_put,rebound_atr_after_put,h1_bar_start,h1_close,h1_ema21,h1_phase_oscillator,h1_phase_zone,h1_compression,h1_po_compression,h1_completed_time,h1_po_state
2023-04-14,412.82,413.445,5.155432813625617,414.66168214401563,412.22831785598436,2023-04-14 09:48:00,2023-04-14 10:08:00,2023-04-14 10:23:00,10:00,False,35.0,15.0,False,,,False,,,False,,True,True,True,False,False,False,False,False,False,False,False,2023-04-14 11:32:00,2023-04-14 12:46:00,,gg_only,412.49,put_to_pdc,0.6565889077350716,-0.1280202892481913,2023-04-14 09:00:00,414.8264,412.19573270050006,64.68959682373941,distribution,0,0,2023-04-14 10:00:00,bullish_expansion
2023-04-18,415.58,413.94,4.845920130115969,415.0836371507074,412.7963628492926,2023-04-18 09:30:00,2023-04-18 10:04:00,2023-04-18 11:40:00,11:30,True,130.0,96.0,True,2023-04-18 12:11:00,31.0,False,,,False,,False,False,False,False,False,False,False,False,False,False,False,,,,pdc_only,414.22,pdc_to_call,0.2393353519782966,0.13516524878926442,2023-04-18 10:00:00,413.315,413.91175156797084,14.113219002554601,neutral,0,0,2023-04-18 11:00:00,bullish_expansion
2023-04-26,406.72,406.12,4.483788586351789,407.178174106379,405.061825893621,2023-04-26 09:30:00,2023-04-26 10:14:00,2023-04-26 10:26:00,10:00,False,56.0,12.0,True,2023-04-26 10:52:00,26.0,True,2023-04-26 11:12:00,46.0,True,2023-04-26 12:09:00,True,True,False,False,False,False,False,False,False,False,False,2023-04-26 14:43:00,,,pdc_first,404.37,below_put_trigger,0.521880092010306,0.3836041701955978,2023-04-26 09:00:00,406.8987,408.2594004386194,-40.281159974804424,neutral_down,0,0,2023-04-26 10:00:00,bearish_expansion
2023-05-12,413.41,412.16,4.612703054936554,413.24859792096504,411.071402079035,2023-05-12 09:30:00,2023-05-12 10:04:00,2023-05-12 11:15:00,11:00,True,105.0,71.0,False,,,False,,,False,,True,True,True,False,False,False,False,False,False,False,False,2023-05-12 12:11:00,2023-05-12 13:56:00,,gg_only,411.61,put_to_pdc,0.6698892088215147,-0.10622838586490127,2023-05-12 10:00:00,411.5057,412.6348573506173,-11.018654171220831,neutral,1,1,2023-05-12 11:00:00,compression
2023-05-19,420.17,419.23,4.430336235230405,420.2755593515144,418.18444064848563,2023-05-19 09:34:00,2023-05-19 11:15:00,2023-05-19 11:32:00,11:30,False,118.0,17.0,False,,,False,,,False,,True,False,False,False,False,False,False,False,False,False,False,2023-05-19 11:38:00,,,gg_only,418.61,put_to_pdc,0.42434702473597324,-0.011285825125959329,2023-05-19 10:00:00,420.33,418.6036010013081,66.66177261857248,distribution,0,0,2023-05-19 11:00:00,bullish_expansion
2023-05-22,418.64,418.61,4.331026504142517,419.6321222549777,417.58787774502235,2023-05-22 09:34:00,2023-05-22 10:03:00,2023-05-22 10:08:00,10:00,False,34.0,5.0,True,2023-05-22 10:11:00,3.0,True,2023-05-22 14:28:00,260.0,False,,False,False,False,False,False,False,False,False,False,False,False,,,,pdc_only,418.78,pdc_to_call,0.29092410281831177,0.3763541965030558,2023-05-22 09:00:00,419.0684,418.61613136643143,11.631408128615739,neutral,1,1,2023-05-22 10:00:00,compression
2023-06-07,428.44,428.04,4.586298412167952,429.12236642527165,426.9576335747284,2023-06-07 09:35:00,2023-06-07 10:25:00,2023-06-07 11:52:00,11:30,False,137.0,87.0,False,,,False,,,False,,True,False,False,False,False,False,False,False,False,False,False,2023-06-07 13:21:00,,,gg_only,426.6,below_put_trigger,0.42081867042918647,-0.10683997332140129,2023-06-07 10:00:00,427.67,427.9711300725378,7.346899490710153,neutral,1,1,2023-06-07 11:00:00,compression
2023-08-21,437.55,436.46,4.612274514424527,437.54849678540415,435.3715032145958,2023-08-21 09:30:00,2023-08-21 10:30:00,2023-08-21 11:53:00,11:30,True,143.0,83.0,True,2023-08-21 12:19:00,26.0,True,2023-08-21 13:20:00,87.0,True,2023-08-21 13:33:00,False,False,False,False,False,False,False,False,False,False,False,,,,pdc_only,439.34,above_call_trigger,0.24716655446997476,0.791366599838094,2023-08-21 10:00:00,436.725,437.17772142197083,6.845074167596769,neutral,1,1,2023-08-21 11:00:00,compression
2023-08-24,444.69,442.97,4.881456672081157,444.1220237746112,441.81797622538886,2023-08-24 09:30:00,2023-08-24 10:15:00,2023-08-24 10:33:00,10:30,True,63.0,18.0,False,,,False,,,False,,True,True,True,True,True,True,False,False,False,False,False,2023-08-24 10:46:00,2023-08-24 11:37:00,2023-08-24 15:37:00,gg_only,436.92,below_put_trigger,1.2526998416218542,-0.14135124950435757,2023-08-24 09:00:00,444.95,443.472527426411,23.601878789481717,neutral_up,1,1,2023-08-24 10:00:00,compression
2023-08-25,438.68,436.92,4.982781195503932,438.09593636213896,435.7440636378611,2023-08-25 09:30:00,2023-08-25 10:36:00,2023-08-25 10:47:00,10:30,True,77.0,11.0,True,2023-08-25 11:10:00,23.0,True,2023-08-25 11:29:00,42.0,True,2023-08-25 12:29:00,True,False,False,False,False,False,False,False,False,False,False,2023-08-25 11:02:00,,,gg_first,439.95,above_call_trigger,0.3853269739663608,0.8790271593607524,2023-08-25 09:00:00,439.09,439.36662077037124,-11.115830326414319,neutral,0,0,2023-08-25 10:00:00,bearish_expansion
