signal_date,peak_po,opex_offset,wk_atr_pos,mo_atr_pos,max_drop_1d,hit_05_1d,hit_10_1d,hit_15_1d,hit_20_1d,max_drop_3d,hit_05_3d,hit_10_3d,hit_15_3d,hit_20_3d,max_drop_5d,hit_05_5d,hit_10_5d,hit_15_5d,hit_20_5d,max_drop_10d,hit_05_10d,hit_10_10d,hit_15_10d,hit_20_10d,extended,deep_ext
2018-05-14,88.926210118387,4,0.8620808917548284,0.7835027261060951,-1.058918364355871,True,True,False,False,-1.058918364355871,True,True,False,False,-1.058918364355871,True,True,False,False,-1.890663930822228,True,True,True,False,True,False
2018-07-10,85.78084772644314,8,0.832251349933467,0.4774621447124938,-0.07949700079497987,False,False,False,False,-0.07949700079497987,False,False,False,False,-0.07949700079497987,False,False,False,False,-0.07949700079497987,False,False,False,False,True,False
2018-08-28,84.4993623528125,-7,0.7570339321406465,1.466214634249811,0.15042321644498724,False,False,False,False,-0.05527724995680366,False,False,False,False,-0.5389531870789437,True,False,False,False,-0.946622905510454,True,False,False,False,True,True
2018-11-08,80.1509980337078,6,2.216639621430163,-0.8250436716491009,-1.5401069518716555,True,True,True,False,-3.297682709447415,True,True,True,True,-4.809197860962568,True,True,True,True,-6.324420677361857,True,True,True,True,True,True
2018-12-03,93.43760720671136,-10,1.923111039883216,0.5667996828063685,-3.0844913641423504,True,True,True,True,-5.763223095981907,True,True,True,True,-7.134906100757658,True,True,True,True,-9.052389672878741,True,True,True,True,True,True
2019-01-22,92.923097930216,-1,0.5781883878029248,-0.7703720593680566,-1.6006040015099858,True,True,True,False,-1.6006040015099858,True,True,True,False,-1.6006040015099858,True,True,True,False,-1.6006040015099858,True,True,True,False,False,False
2019-04-24,80.54734529685905,-2,0.35430673030877935,0.8491126446312582,-0.7578084997439736,True,False,False,False,-0.7578084997439736,True,False,False,False,-0.7578084997439736,True,False,False,False,-2.437275985663078,True,True,True,True,True,False
2019-06-10,99.95467114309153,9,1.7846775637270997,-0.3118072108950274,-0.24214206590972043,False,False,False,False,-0.36866518969814377,False,False,False,False,-0.36866518969814377,False,False,False,False,-0.36866518969814377,False,False,False,False,True,True
2019-07-05,88.10245569037056,-9,0.5413367931090025,1.3153420527228221,-0.3163279041593746,False,False,False,False,-0.5653519989231413,True,False,False,False,-0.5653519989231413,True,False,False,False,-0.5653519989231413,True,False,False,False,True,True
2019-11-18,80.08336015870547,-1,0.4073185742610989,0.9195377537745701,-0.23081361800345274,False,False,False,False,-0.9232544720138474,True,False,False,False,-0.9232544720138474,True,False,False,False,-1.541963198050908,True,True,True,False,True,False
2019-12-27,91.69035675812614,-4,0.3563851590862635,1.2011234701192899,-0.8444691907943459,True,False,False,False,-0.9682009403612954,True,False,False,False,-0.9682009403612954,True,False,False,False,-0.9682009403612954,True,False,False,False,True,True
2020-06-09,104.6170425566508,8,0.9637705997889895,1.1551127789173743,-0.7482689788534815,True,False,False,False,-6.867943359740497,True,True,True,True,-7.44806936560414,True,True,True,True,-7.44806936560414,True,True,True,True,True,True
2020-08-31,101.89518265005648,-6,0.7992730860557123,0.9024406970122364,-0.25704004112640005,False,False,False,False,-2.156280345004858,True,True,True,True,-4.929456788713084,True,True,True,True,-5.466384874621577,True,True,True,True,True,False
2020-10-13,100.24486311615534,3,1.3048344294961711,0.08064231136454807,-1.226347986911368,True,True,False,False,-2.367335325081802,True,True,True,True,-2.962014511310277,True,True,True,True,-4.504196898563091,True,True,True,True,True,True
2020-11-09,90.72462388009254,9,2.0462697864646953,0.7284056634589788,-1.1366841541151997,True,True,False,False,-1.1366841541151997,True,True,False,False,-1.1366841541151997,True,True,False,False,-1.1366841541151997,True,True,False,False,True,True
2021-04-07,100.57733461888375,7,0.7976834932407992,0.9719753865380518,0.24634789249377972,False,False,False,False,0.24634789249377972,False,False,False,False,0.24634789249377972,False,False,False,False,0.24634789249377972,False,False,False,False,True,False
2021-07-06,106.9453795382081,8,0.4338304361446832,0.4334274334677943,0.08117636144353972,False,False,False,False,-0.8442341590129054,True,False,False,False,-0.8442341590129054,True,False,False,False,-2.131459319046293,True,True,True,True,False,False
2021-10-21,93.91432898700998,-4,1.2614279891786886,-0.027969521976205804,0.0243934891559883,False,False,False,False,0.0243934891559883,False,False,False,False,0.0243934891559883,False,False,False,False,0.0243934891559883,False,False,False,False,True,True
2021-11-08,108.50150328527943,9,0.8974797620071022,1.6420914361247336,-0.5910594260108785,True,False,False,False,-1.4104342259681975,True,True,False,False,-1.4104342259681975,True,True,False,False,-1.4104342259681975,True,True,False,False,True,True
2021-12-28,94.20624044819866,-6,1.5075363993912625,0.7428466689631853,-0.34758574479667664,False,False,False,False,-0.6093219984086369,True,False,False,False,-0.7810209807780815,True,False,False,False,-4.393546630930937,True,True,True,True,True,True
2022-03-30,84.20402403444206,-8,0.9500644180685902,0.3922362992462011,-2.0133353604239472,True,True,True,True,-2.4520556870751298,True,True,True,True,-3.6835132376256934,True,True,True,True,-5.164715591946658,True,True,True,True,True,False
2022-05-31,92.12224997719892,-6,1.3526909551086572,0.08170546693891735,-1.84760848066764,True,True,True,False,-1.84760848066764,True,True,True,False,-1.84760848066764,True,True,True,False,-10.61289466702043,True,True,True,True,True,True
2022-08-01,101.13918060406277,-11,0.7886821469458459,0.9827801853725329,-0.9471403179859235,True,False,False,False,-0.9471403179859235,True,False,False,False,-0.9471403179859235,True,False,False,False,-0.9471403179859235,True,False,False,False,True,False
2022-08-15,93.84423324714353,4,0.5825758418678519,1.3917696357399816,0.5322405915877704,False,False,False,False,-0.018840374923457227,False,False,False,False,-2.8778672695586707,True,True,True,True,-5.515543309311853,True,True,True,True,True,True
2022-09-13,85.14135895623672,3,0.3093869563522911,-0.40991179420530566,-1.7002400191009932,True,True,True,False,-3.9647134222199827,True,True,True,True,-4.194679367153825,True,True,True,True,-9.302939291503822,True,True,True,True,False,False
2022-11-11,83.68486746570106,5,0.9694632674657634,1.0511203022802094,-0.09109542245502508,False,False,False,False,-0.17712998810698363,False,False,False,False,-1.277866342771834,True,True,False,False,-1.277866342771834,True,True,False,False,True,True
2023-02-02,89.445497255855,-9,1.108468168106438,0.8741631152926691,-0.8107129931234198,True,False,False,False,-1.6600313668717566,True,True,True,False,-2.084690553745925,True,True,True,True,-2.2777174568705507,True,True,True,True,True,True
2023-04-04,94.43522625001285,-12,0.793337553361008,0.34231712709525275,-0.5927014450159236,True,False,False,False,-0.6421748714180784,True,False,False,False,-0.6421748714180784,True,False,False,False,-0.6421748714180784,True,False,False,False,True,False
2023-05-19,80.64707659877774,0,0.5170012393670544,0.26233948116321953,-0.27836517209657086,False,False,False,False,-2.0633669044120233,True,True,True,True,-2.7551700655890468,True,True,True,True,-2.7551700655890468,True,True,True,True,False,False
