trading_week_end,weekly_bar_ts,cohort,outcome,open,prev_close,prev_atr14,put_trigger,pivot,call_trigger,dgg_open,ugg_open,week_low,week_high,tap_time,tap_price,pivot_time,call_time,ugg_time,dgg_time,mae_atr,mfe_atr,po_weekly_prev,po_weekly_zone,po_weekly_slope,po_weekly_bilbo,q_band_at_trigger,q_band_at_tap
2022-09-02,2022-09-04,intraweek_cross,breakdown,402.2,405.32,18.32946998423551,400.9942450837204,405.32,409.6457549162796,398.31814246602204,412.32185753397795,390.04,405.84,2022-08-30 10:05:00,400.9942450837204,,,,2022-08-30 10:34:00,0.5976302147929919,0.030593078619398417,3.7287697237005544,mid,falling,mid_falling,above_q_ugg,above_q_ugg
2022-09-09,2022-09-11,non_tap,no_tap,393.1,392.27,18.148793556790114,387.9868847205975,392.27,396.55311527940245,385.33716086130613,399.20283913869383,388.42,407.51,,,,,,,,,-13.421794614585227,mid,falling,mid_falling,q_call_to_ugg,
2022-09-16,2022-09-18,intraweek_cross,breakdown,408.78,406.55,18.21602258844796,402.25101866912627,406.55,410.84898133087376,399.59147937121287,413.50852062878715,382.11,411.73,2022-09-13 09:30:00,402.25101866912627,,,,2022-09-13 10:32:00,1.105675982302474,0.04660629546057728,-8.678481583888937,mid,rising,mid_rising,above_q_ugg,above_q_ugg
2022-09-23,2022-09-25,intraweek_cross,reversion_only,382.26,385.64,19.03059240355882,381.1487801927601,385.64,390.13121980723986,378.37031370184053,392.90968629815944,363.29,389.31,2022-09-21 14:04:00,381.1487801927601,2022-09-21 14:42:00,,,2022-09-21 15:48:00,0.9384248169500182,0.4288473860495114,-22.699227198753707,mid,falling,mid_falling,q_pivot_to_call,q_pivot_to_call
2022-09-30,2022-10-02,intraweek_cross,reversion_only,366.43,367.92,19.529835803304618,363.3109587504201,367.92,372.5290412495799,360.45960272313766,375.38039727686237,357.11,372.3,2022-09-26 13:25:00,363.3109587504201,2022-09-27 09:30:00,,,2022-09-29 13:59:00,0.31751207807752574,0.46027223885102303,-41.361258703433236,mid,falling,mid_falling,q_put_to_dgg,q_put_to_dgg
2022-10-07,2022-10-09,non_tap,no_tap,361.08,357.19,19.219847531640003,352.65411598253297,357.19,361.725884017467,349.8480182429135,364.5319817570865,359.21,379.46,,,,,,,,,-56.86272672614471,mid,falling,mid_falling,q_pivot_to_put,
2022-10-14,2022-10-16,intraweek_cross,reversion_only,363.97,362.8,19.437715565094287,358.21269912663774,362.8,367.3873008733623,355.374792654134,370.225207345866,348.11,370.26,2022-10-10 13:01:00,358.21269912663774,2022-10-11 12:46:00,2022-10-13 15:09:00,2022-10-14 09:39:00,2022-10-13 09:30:00,0.5197472456475224,0.6197899559244738,-56.5825575007004,mid,rising,mid_rising,q_pivot_to_call,q_pivot_to_call
2022-10-21,2022-10-23,non_tap,no_tap,364.0,357.68,19.631450167587552,353.04697776044935,357.68,362.31302223955066,350.18078603598155,365.17921396401846,363.54,375.45,,,,,,,,,-57.5823227545837,mid,falling,mid_falling,q_pivot_to_put,
2022-10-28,2022-10-30,non_tap,no_tap,375.9,374.28,19.498489441331294,369.67835649184576,374.28,378.8816435081542,366.8315770334114,381.72842296658854,373.11,389.52,,,,,,,,,-42.701749633455144,mid,rising,mid_rising,q_call_to_ugg,
2022-11-04,2022-11-06,intraweek_cross,breakdown,386.44,388.97,19.277883052664773,384.4204195995711,388.97,393.51958040042894,381.60584867388206,396.334151326118,368.79,390.39,2022-11-01 10:44:00,384.4204195995711,,,,2022-11-02 12:35:00,0.8107954362452942,0.21836320870548015,-22.59592499488653,mid,rising,mid_rising,above_q_ugg,above_q_ugg
2022-11-11,2022-11-13,non_tap,no_tap,377.71,376.34,19.443748548903002,371.7512753424589,376.34,380.92872465754107,368.91248805431906,383.7675119456809,373.61,399.35,,,,,,,,,-22.262081569603538,mid,rising,mid_rising,q_call_to_ugg,
2022-11-18,2022-11-20,gap_through_cross,breakdown,396.66,398.5,19.893480795409932,393.80513853228325,398.5,403.19486146771675,390.9006903361534,406.0993096638466,390.14,402.31,2022-11-17 09:30:00,390.46,,,,2022-11-17 09:30:00,0.016085671647458874,0.3694677706525801,-3.995319899429351,mid,rising,mid_rising,above_q_ugg,above_q_ugg
2022-11-25,2022-11-27,non_tap,no_tap,394.64,396.09,19.341803595737797,391.52533435140583,396.09,400.6546656485941,388.7014310264281,403.47856897357184,392.66,402.93,,,,,,,,,2.7864976216432913,mid,rising,mid_rising,above_q_ugg,
2022-12-02,2022-12-04,intraweek_cross,breakdown,399.09,402.37,18.69381762461367,397.9582590405912,402.37,406.7817409594088,395.2289616673976,409.5110383326024,393.3,410.0,2022-11-28 12:03:00,397.9582590405912,2022-11-30 14:18:00,2022-11-30 15:54:00,2022-12-01 09:50:00,2022-11-28 15:25:00,0.24918714486963756,0.6441563302486566,10.983240089459247,mid,rising,mid_rising,above_q_ugg,above_q_ugg
2022-12-09,2022-12-11,intraweek_cross,breakdown,403.95,406.87,18.551402079998407,402.4918691091204,406.87,411.2481308908796,399.78336440544064,413.9566355945594,391.64,404.93,2022-12-05 10:00:00,402.4918691091204,,,,2022-12-05 13:52:00,0.584962207294325,0.08011420832078285,17.95201359871418,mid,rising,mid_rising,above_q_ugg,above_q_ugg
2022-12-16,2022-12-18,intraweek_cross,breakdown,394.1,393.285,18.314159074284238,388.96285845846893,393.285,397.6071415415311,386.28899123362345,400.2810087663766,381.04,410.49,2022-12-15 11:49:00,388.96285845846893,,,,2022-12-16 09:30:00,0.4326083674567271,0.10468083922144227,9.21134901384466,mid,falling,mid_falling,above_q_ugg,above_q_ugg
2022-12-23,2022-12-25,intraweek_cross,reversion_only,383.47,383.3,19.109576283263934,378.7901399971497,383.3,387.8098600028503,376.0001418597932,390.59985814020683,374.77,387.41,2022-12-19 14:28:00,378.7901399971497,2022-12-21 09:30:00,,,2022-12-22 13:01:00,0.21037305786159916,0.4510754124045934,-3.106145401908056,mid,falling,mid_falling,above_q_ugg,above_q_ugg
2022-12-30,2023-01-01,intraweek_cross,reversion_only,382.79,382.9,18.64746369160223,378.4991985687819,382.9,387.3008014312181,375.7766688698079,390.02333113019205,376.42,384.35,2022-12-28 11:15:00,378.4991985687819,2022-12-29 10:20:00,,,,0.11150034144955684,0.3137585640589297,-9.062564707956671,mid,falling,mid_falling,above_q_ugg,above_q_ugg
2023-01-06,2023-01-08,intraweek_cross,continuation,384.37,382.44,17.8819305707735,378.21986438529746,382.44,386.66013561470254,375.60910252196453,389.27089747803547,377.831,389.25,2023-01-03 12:46:00,378.21986438529746,2023-01-04 09:30:00,2023-01-06 11:52:00,,,0.021746219389365273,0.616831363428419,-12.040113971106443,mid,falling,mid_falling,q_pivot_to_put,q_pivot_to_put
2023-01-13,2023-01-15,non_tap,no_tap,390.37,388.03,17.420292672861105,383.91881092920477,388.03,392.1411890707952,381.37544819896704,394.6845518010329,386.27,399.1,,,,,,,,,-8.165190498435392,mid,rising,mid_rising,q_pivot_to_call,
2023-01-20,2023-01-22,intraweek_cross,breakdown,398.48,398.47,17.092414624799602,394.4361901485473,398.47,402.50380985145273,391.94069761332656,404.9993023866735,387.26,400.23,2023-01-18 11:39:00,394.4361901485473,,,,2023-01-18 15:40:00,0.4198464819672294,0.09383167250844167,3.1843787741859915,mid,rising,mid_rising,q_call_to_ugg,q_call_to_ugg
2023-01-27,2023-01-29,non_tap,no_tap,396.72,395.83,16.79795643731392,391.8656822807939,395.83,399.79431771920605,389.41318064094605,402.2468193590539,393.56,408.16,,,,,,,,,5.933092583750966,mid,rising,mid_rising,q_pivot_to_call,
2023-02-03,2023-02-05,intraweek_cross,full_rotation,402.8,405.68,16.640959548934358,401.7527335464515,405.68,409.6072664535485,399.3231534523071,412.0368465476929,400.28,418.31,2023-01-30 13:02:00,401.7527335464515,2023-01-31 15:54:00,2023-02-01 14:47:00,2023-02-01 15:35:00,,0.08850051838181688,0.9949706568819089,15.918431054702182,mid,rising,mid_rising,above_q_ugg,above_q_ugg
