ticker,ld,pop,size,delisted,n_bars,e0_ret_252,e0_spy_252,e126_ret_252,e126_spy_252,dipped,days_to_dip,entry_ord,entry_px,ret_end,spy_end,last_ord,ret_1y,spy_1y
FBGL,2025-02-04,-0.0533333333333333,10125000.0,False,314,-0.7869014084507042,0.1445276421691514,,,True,2.0,739288.0,3.45,-0.8188405797101449,0.20659057923208857,739743.0,-0.7368695652173913,0.14452764216915148
CJMB,2025-02-05,0.0,5120000.0,False,315,-0.5475,0.1429942736089502,,,True,9.0,739296.0,3.73,-0.6943699731903485,0.19990159094636706,739743.0,-0.5978552278820375,0.1256191569624403
PLUT,2025-02-05,0.0424999999999999,8400000.0,False,306,-0.2565947242206234,0.145212008870941,,,True,0.0,739287.0,4.0,-0.27,0.21078415146800844,739743.0,-0.22499999999999998,0.145212008870941
SION,2025-02-07,0.3888888888888888,190588194.0,False,313,0.5206,0.1520548629259117,,,True,18.0,739307.0,17.07,1.5371997656707674,0.23111873990306941,739743.0,1.2261277094317515,0.15996903607969837
TTAM,2025-02-07,-0.0002040634791254,384000000.0,False,313,0.182194434466502,0.1520548629259117,,,True,6.0,739295.0,15.848614692687988,0.05447135739333997,0.19984255326127953,739743.0,0.14488529845424458,0.11992193265871776
AGH,2025-02-12,0.0925,15000000.0,False,309,-0.0892448512585812,0.1299224343675418,,,True,0.0,739294.0,3.88,0.23453608247422686,0.21623906125696113,739742.0,0.02577319587628879,0.1299224343675418
SAIL,2025-02-13,0.0,1380000000.0,False,309,-0.3195652173913043,0.1199219326587177,,,True,0.0,739295.0,22.0,-0.4459090909090909,0.19984255326127953,739743.0,-0.2886363636363636,0.11992193265871776
AARD,2025-02-13,-0.05125,94208000.0,False,308,-0.1798418972332016,0.1199219326587177,,,True,0.0,739295.0,14.31,-0.5883997204751923,0.20353271120003935,739742.0,-0.12997903563941304,0.11992193265871776
KRMN,2025-02-13,0.3636363636363635,506000000.0,False,309,1.5036666870117186,0.1199219326587177,,,False,,,,,,,,
NPB,2025-02-14,-0.0077962711138523,151090000.0,False,307,0.2314390908434322,0.1193641760290438,,,True,4.0,739300.0,14.476252555847168,0.222001375412062,0.1963891478192612,739743.0,0.22384281223345948,0.11936417602904381
NNNN,2025-02-19,0.052,8000000.0,False,306,3.6958174904942966,0.1248103372326367,,,False,,,,,,,,
WGRX,2025-02-19,-0.0333333333333334,4000000.5,False,304,-0.9440459770114944,0.1456979031236456,,,True,2.0,739303.0,3.81,-0.9768241469816273,0.2194219421942194,739743.0,-0.9361154855643045,0.1456979031236456
BMGL,2025-02-25,0.0475000000000001,8820000.0,False,302,-0.8520286396181385,0.1599690360796983,,,True,13.0,739320.0,3.911,-0.8261314241881872,0.30504120732098894,739743.0,-0.8437484019432371,0.20648257162224848
LZMH,2025-02-26,0.2775000000000001,7200000.0,False,300,-0.7632093933463797,0.1731988718912913,,,True,160.0,739468.0,3.6,-0.9734166666666667,0.16499195821456447,739743.0,,
STAK,2025-02-26,-0.0949999999999999,5000000.0,False,301,-0.8825966850828729,0.1538163958690752,,,True,0.0,739308.0,3.73,-0.7131367292225201,0.23049752750025254,739743.0,-0.886058981233244,0.15381639586907525
WETO,2025-02-27,0.0249999999999999,8000000.0,False,298,-0.8926829268292683,0.171062302367319,,,True,0.0,739309.0,3.6,-0.875,0.25045722587813035,739743.0,-0.8777777777777778,0.171062302367319
LUD,2025-02-27,0.0475000143051147,10000000.0,False,300,0.1520286575714058,0.1731988718912913,,,True,0.0,739309.0,4.0,0.4500000476837158,0.25045722587813035,739743.0,0.2067500352859497,0.17319887189129135
TBH,2025-03-06,-0.05,5900000.0,False,295,-0.9328947368421052,0.1843166698678213,,,True,26.0,739342.0,1.27,-0.4881889763779528,0.3041339109043264,739743.0,-0.7094488188976378,0.1690999518690839
KMTS,2025-03-06,0.3499999999999998,201999984.0,False,295,0.0213507625272331,0.1843166698678213,,,True,102.0,739418.0,16.65,0.29249249249249254,0.21387801154841735,739743.0,,
SAGT,2025-03-07,0.0,7000000.0,False,294,-0.5425,0.1758230309765245,,,True,0.0,739317.0,3.6,-0.5444444444444445,0.2702805945270177,739743.0,-0.4916666666666667,0.17582303097652452
