cut,entry_mode,variant,filter_status,atr_threshold_q25,n,t1_count,t2_count,t3_count,stop_count,timeout_count,t1_pct,t2_pct,t3_pct,stop_pct,timeout_pct,win_pct,pnl_points_total,pnl_points_avg,pnl_points_median,median_box_height,median_initial_risk_box_R,median_rr_to_t2,same_bar_conflict_count,same_bar_conflict_pct,train_n,train_t2_pct,holdout_n,holdout_t2_pct,publishable,strong_candidate
10m_bear_x_1h_po,immediate_touch,tight_atr,ok,0.20532591982167295,179,107,80,43,118,18,0.5977653631284916,0.44692737430167595,0.24022346368715083,0.659217877094972,0.1005586592178771,0.48044692737430167,31.12880000000054,0.17390391061452815,-0.07499999999998863,0.33499999999997954,0.5,2.0,16,0.0893854748603352,178,0.449438202247191,1,0.0,False,False
10m_bear_x_1h_po,immediate_touch,short_box_tight_atr,ok,0.20532591982167295,124,74,57,31,84,9,0.5967741935483871,0.4596774193548387,0.25,0.6774193548387096,0.07258064516129033,0.46774193548387094,25.51975000000003,0.2058044354838712,-0.07750000000000057,0.3050000000000068,0.5,2.0,14,0.11290322580645161,123,0.4634146341463415,1,0.0,False,False
10m_bear_x_1h_po,immediate_touch,gap_filter,ok,0.20532591982167295,661,328,183,55,403,203,0.4962178517397882,0.27685325264750377,0.0832072617246596,0.6096822995461422,0.3071104387291982,0.4236006051437216,-30.937299999999183,-0.04680378214825898,-0.20000000000000284,0.6699999999999875,0.5,2.0,19,0.028744326777609682,650,0.28,11,0.09090909090909091,True,False
10m_bear_x_1h_po,immediate_touch,short_box_tight_atr_gap,ok,0.20532591982167295,116,68,51,26,82,8,0.5862068965517241,0.4396551724137931,0.22413793103448276,0.7068965517241379,0.06896551724137931,0.4482758620689655,14.764850000000067,0.127283189655173,-0.09499999999999886,0.29949999999999477,0.5,2.0,14,0.1206896551724138,115,0.4434782608695652,1,0.0,False,False
10m_bear_x_1h_po,close_confirm,base,ok,0.20150775627561257,444,195,108,35,281,128,0.4391891891891892,0.24324324324324326,0.07882882882882883,0.6328828828828829,0.2882882882882883,0.36261261261261263,-68.89480000000003,-0.15516846846846855,-0.30750000000003297,0.6450000000000031,0.5,2.0,17,0.038288288288288286,440,0.24545454545454545,4,0.0,True,False
10m_bear_x_1h_po,close_confirm,short_box,ok,0.20150775627561257,223,100,58,22,154,47,0.4484304932735426,0.2600896860986547,0.09865470852017937,0.6905829596412556,0.21076233183856502,0.34080717488789236,-34.50124999999939,-0.15471412556053538,-0.3000000000000256,0.5600000000000023,0.5,2.0,13,0.05829596412556054,220,0.2636363636363636,3,0.0,True,False
10m_bear_x_1h_po,close_confirm,tight_atr,ok,0.20150775627561257,111,56,39,18,83,10,0.5045045045045045,0.35135135135135137,0.16216216216216217,0.7477477477477478,0.09009009009009009,0.36936936936936937,4.1150999999992735,0.037072972972966425,-0.19499999999999318,0.3200000000000074,0.5,2.0,12,0.10810810810810811,111,0.35135135135135137,0,,False,False
10m_bear_x_1h_po,close_confirm,short_box_tight_atr,ok,0.20150775627561257,84,39,28,15,66,3,0.4642857142857143,0.3333333333333333,0.17857142857142858,0.7857142857142857,0.03571428571428571,0.32142857142857145,-1.2436000000004697,-0.014804761904767497,-0.20250000000000767,0.29949999999999477,0.5,2.0,10,0.11904761904761904,84,0.3333333333333333,0,,False,False
10m_bear_x_1h_po,close_confirm,gap_filter,ok,0.20150775627561257,229,99,44,8,146,75,0.43231441048034935,0.19213973799126638,0.034934497816593885,0.6375545851528385,0.32751091703056767,0.34934497816593885,-57.49544999999982,-0.2510718340611346,-0.41500000000002046,0.8299000000000092,0.5,2.0,4,0.017467248908296942,226,0.19469026548672566,3,0.0,True,False
10m_bear_x_1h_po,close_confirm,short_box_tight_atr_gap,ok,0.20150775627561257,26,11,7,2,22,2,0.4230769230769231,0.2692307692307692,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.2692307692307692,-6.817450000000093,-0.26220961538461895,-0.2324999999999804,0.3300000000000054,0.5,2.0,2,0.07692307692307693,26,0.2692307692307692,0,,False,False
