entry,stop,exit,n_signals,n_trades,fill_pct,trades_per_wk,win_rate,avg_risk_pts,avg_net_pts,avg_r_net,total_r_net,pf_net,t_stat,max_dd_r,ann_usd_1lot,r2021,r2022,r2023,r2024,r2025,r2026
ema9_touch,atr_1.5,be_1r_closeagainst,809,806,99.6,3.07,43.5,15.16,1.064,0.0884,71.2,1.287,2.7,11.4,8493,33.8,0.9,26.6,8.8,0.4,0.7
ema9_touch,atr_2.0,trail_0.5r,752,749,99.6,2.85,60.9,19.94,0.42,0.0321,24.1,1.086,1.02,10.6,3112,21.2,-0.8,4.0,4.1,-6.7,2.2
ema9_touch,atr_2.0,trail_1r,734,731,99.6,2.78,52.7,19.98,1.368,0.0735,53.7,1.163,1.91,11.3,9898,22.9,6.5,14.8,13.8,-5.7,1.4
ema9_touch,atr_2.0,trail_1.5r,731,728,99.6,2.77,49.5,19.98,1.779,0.0965,70.3,1.202,2.26,11.8,12823,25.9,7.6,22.3,14.3,2.1,-1.9
ema9_touch,atr_2.0,trail_1r_tgt2r,734,731,99.6,2.78,52.7,19.98,1.342,0.0726,53.0,1.161,1.9,11.3,9709,22.2,5.8,14.4,14.9,-5.6,1.4
ema9_touch,atr_2.0,trail_1r_tgt3r,734,731,99.6,2.78,52.7,19.98,1.38,0.0747,54.6,1.166,1.93,11.3,9986,22.9,6.1,14.6,14.6,-5.0,1.4
ema9_touch,atr_2.0,be_1r_closeagainst,804,801,99.6,3.05,44.6,20.24,1.067,0.0649,52.0,1.276,2.58,10.0,8458,24.2,1.6,17.6,7.8,0.6,0.3
ema13_touch,candle_low,trail_0.5r,894,843,94.3,3.21,45.8,9.27,0.074,0.0248,20.9,1.049,0.51,33.3,616,24.2,10.8,-0.1,14.8,-30.0,1.2
ema13_touch,candle_low,trail_1r,875,824,94.2,3.14,41.3,9.27,0.28,0.0322,26.5,1.054,0.61,35.1,2288,30.3,17.5,-5.2,15.2,-32.6,1.3
ema13_touch,candle_low,trail_1.5r,866,815,94.1,3.1,37.5,9.3,0.801,0.0781,63.7,1.121,1.34,29.6,6461,43.7,24.6,0.3,15.0,-23.3,3.4
ema13_touch,candle_low,trail_1r_tgt2r,916,862,94.1,3.28,42.7,9.17,0.103,-0.0207,-17.8,0.965,-0.49,48.3,878,22.4,2.4,-2.7,-12.4,-29.1,1.5
ema13_touch,candle_low,trail_1r_tgt3r,890,839,94.3,3.19,42.0,9.23,0.277,0.0145,12.2,1.024,0.31,36.5,2297,30.1,9.9,2.9,-4.6,-27.5,1.3
ema13_touch,candle_low,be_1r_closeagainst,892,840,94.2,3.2,34.8,9.32,0.587,0.0835,70.2,1.17,1.52,28.2,4885,44.0,14.6,19.0,10.7,-19.4,1.2
ema13_touch,atr_1.0,trail_0.5r,863,821,95.1,3.13,50.8,10.01,-0.009,0.0227,18.6,1.05,0.58,26.5,-73,37.8,-1.1,-3.1,2.1,-15.6,-1.5
ema13_touch,atr_1.0,trail_1r,837,795,95.0,3.03,46.4,10.03,0.498,0.0697,55.4,1.128,1.52,20.5,3921,50.6,3.4,10.0,-0.1,-7.4,-1.1
ema13_touch,atr_1.0,trail_1.5r,828,786,94.9,2.99,41.5,10.04,1.076,0.1173,92.2,1.196,2.27,21.2,8372,54.7,10.2,25.0,11.2,-8.4,-0.6
ema13_touch,atr_1.0,trail_1r_tgt2r,860,817,95.0,3.11,46.4,9.98,0.305,0.0417,34.1,1.077,0.99,26.7,2465,42.7,2.0,4.8,-9.3,-5.0,-1.1
ema13_touch,atr_1.0,trail_1r_tgt3r,843,801,95.0,3.05,46.2,10.01,0.503,0.0657,52.6,1.12,1.45,20.4,3987,46.7,5.2,9.9,-2.3,-5.8,-1.1
ema13_touch,atr_1.0,be_1r_closeagainst,862,816,94.7,3.11,39.2,10.08,0.69,0.1001,81.7,1.236,2.28,17.7,5576,55.4,-1.8,21.1,11.1,-3.5,-0.5
ema13_touch,atr_1.5,trail_0.5r,811,770,94.9,2.93,57.4,14.92,0.26,0.0215,16.6,1.053,0.62,20.7,1980,25.6,-1.1,0.1,-3.7,-6.3,1.9
