month_end,direction,open_dom,open_wom,completes,days_to_complete,days_trig_to_open,d_ema21_slope,d_px_minus_ema21,d_po,d_po_slope,d_zone,w_ema21_slope,w_po,w_po_slope,w_zone,atr_14,pmc
2012-10-31,down,25,4,False,,2,-0.0943,-29.16,-53.3,-15.02,neutral_down,0.1856,31.6,-6.76,neutral_up,91.13,1440.67
2012-11-30,down,8,2,True,4.0,1,-0.0879,-30.89,-38.3,-23.87,neutral_down,0.0458,12.1,-5.95,neutral,89.45,1412.16
2013-01-31,up,2,1,True,11.0,0,-0.0153,6.06,-3.1,16.34,neutral,-0.0332,4.9,-9.22,neutral,86.72,1426.19
2013-03-31,up,8,2,True,14.0,3,0.1415,27.1,61.1,6.22,neutral_up,0.3584,60.9,-4.56,neutral_up,83.61,1514.68
2013-04-30,down,18,3,False,,9,0.0621,-10.5,0.5,-21.09,neutral,0.5102,76.6,7.83,distribution,82.55,1569.19
2013-05-31,up,8,2,True,4.0,3,0.1755,39.69,79.5,11.07,distribution,0.5403,72.6,11.71,distribution,81.05,1597.57
2013-06-30,down,6,1,True,11.0,1,-0.0255,-25.9,-24.9,-23.01,neutral_down,0.406,77.5,-15.98,distribution,82.83,1630.74
2013-07-31,up,8,2,True,3.0,4,0.0032,14.79,10.7,13.95,neutral,0.2852,33.2,5.33,neutral_up,83.62,1606.28
2013-08-31,down,16,3,True,7.0,1,-0.0068,-22.68,-23.3,-31.5,neutral,0.3842,66.2,-7.07,distribution,84.37,1685.73
2013-09-30,up,9,2,True,2.0,3,-0.0572,-0.91,-8.4,6.44,neutral,0.1256,18.9,0.15,neutral,84.22,1632.97
2013-10-31,up,16,3,True,2.0,3,0.0425,10.07,24.5,-4.37,neutral_up,0.265,39.8,1.23,neutral_up,85.12,1681.55
2013-10-31,down,9,2,False,,1,-0.0516,-28.93,-38.1,-25.2,neutral_down,0.2185,38.6,-3.49,neutral_up,85.12,1681.55
2013-11-30,up,14,2,True,10.0,1,0.1085,28.71,55.4,10.28,neutral_up,0.453,73.3,3.04,distribution,88.24,1756.54
2013-12-31,up,26,4,False,,2,0.1421,33.45,70.5,11.62,distribution,0.4377,69.9,5.88,distribution,86.75,1805.81
2013-12-31,down,12,2,False,,6,0.0436,-7.84,7.6,-27.64,neutral,0.4364,83.7,-3.96,distribution,86.75,1805.81
2014-01-31,down,24,4,True,0.0,15,0.0511,-3.67,11.4,-20.43,neutral,0.3717,74.5,-4.83,distribution,86.37,1848.36
2014-02-28,up,11,2,True,3.0,0,-0.1161,4.73,-9.4,17.79,neutral,0.1209,23.9,-3.75,neutral_up,85.94,1782.59
2014-02-28,down,3,1,False,,0,-0.184,-29.34,-57.3,0.44,neutral_down,0.0531,27.6,-18.37,neutral_up,85.94,1782.59
2014-04-30,down,8,2,True,3.0,1,0.0631,-18.4,-5.6,-27.73,neutral,0.2481,42.6,-1.32,neutral_up,86.26,1872.34
2014-05-31,up,29,5,False,,2,0.0976,23.31,49.9,3.85,neutral_up,0.2918,41.8,6.82,neutral_up,86.02,1883.95
2014-06-30,up,18,3,False,,8,0.0865,17.66,47.3,1.97,neutral_up,0.3527,64.7,-1.91,distribution,84.47,1923.57
2014-08-31,up,15,3,True,2.0,1,-0.0329,7.98,0.7,15.79,neutral,0.0793,26.5,-12.31,neutral_up,80.63,1930.67
2014-09-30,down,25,4,False,,11,0.033,5.27,5.1,6.81,neutral,0.3002,55.2,4.02,neutral_up,82.03,2003.37
2014-10-31,up,31,5,False,,2,0.1861,45.86,51.4,6.71,neutral_up,0.0941,-5.7,19.26,neutral,80.12,1972.29
2014-10-31,down,2,1,True,6.0,1,-0.0976,-37.38,-48.3,-22.95,neutral_down,0.1504,41.9,-13.28,neutral_up,80.12,1972.29
2014-11-30,up,18,3,True,5.0,5,0.198,34.64,68.6,-2.08,distribution,0.3564,45.6,9.47,neutral_up,88.5,2018.05
2014-12-31,down,10,2,True,2.0,1,0.0979,8.78,30.5,-11.65,neutral_up,0.3993,65.1,3.22,distribution,87.52,2067.56
2015-01-31,down,5,1,True,1.0,0,0.0947,0.57,13.3,-12.33,neutral,0.2197,41.9,-8.9,neutral_up,89.91,2058.9
2015-02-28,up,3,1,True,1.0,1,-0.0992,-8.91,-19.7,9.57,neutral,-0.1114,2.3,-16.8,neutral,89.51,1994.99
2015-03-31,down,6,1,True,2.0,0,0.0843,10.2,24.8,-5.16,neutral_up,0.2996,40.1,2.36,neutral_up,93.02,2104.5
2015-04-30,up,13,2,True,10.0,4,0.0426,21.86,25.0,12.49,neutral_up,0.2119,21.3,8.24,neutral,91.94,2067.89
2015-05-31,up,4,1,False,,1,0.0352,10.06,9.3,7.98,neutral,0.1869,26.9,-0.01,neutral_up,90.91,2085.51
2015-06-30,down,9,2,False,,2,-0.0583,-27.39,-39.6,-15.57,neutral_down,0.0367,14.9,-9.08,neutral,89.18,2107.39
2015-07-31,up,13,2,True,3.0,6,-0.1096,-6.75,-29.4,19.24,neutral_down,-0.0507,-3.4,-4.68,neutral,88.07,2063.11
2015-08-31,down,7,1,True,9.0,1,-0.0126,-13.56,-12.1,-11.95,neutral,0.0609,5.8,3.6,neutral,88.12,2103.84
2015-09-30,up,17,3,False,,1,-0.0635,14.98,0.9,13.74,neutral,-0.4463,-53.6,5.06,neutral_down,99.37,1972.18
2015-09-30,down,1,1,True,0.0,0,-0.401,-48.64,-50.8,5.09,neutral_down,-0.4126,-41.1,-6.45,neutral_down,99.37,1972.18
2015-10-31,up,5,1,True,0.0,1,-0.1904,5.31,-13.9,18.97,neutral,-0.3684,-44.7,6.68,neutral_down,102.91,1920.03
2015-11-30,down,13,2,False,,1,0.0637,-17.33,-0.3,-26.44,neutral,0.2875,25.6,8.8,neutral_up,109.89,2079.36
2015-12-31,down,9,2,True,2.0,4,-0.0135,-10.88,-5.4,-10.1,neutral,0.1965,22.2,1.13,neutral,108.98,2080.41
2016-01-31,down,4,1,True,3.0,0,0.0324,-10.69,-0.3,-14.4,neutral,-0.0044,-0.4,-0.06,neutral,109.12,2043.94
2016-02-29,down,3,1,True,3.0,1,-0.1,-25.85,-13.4,-9.48,neutral,-0.3244,-39.9,9.44,neutral_down,117.88,1940.24
2016-03-31,up,1,1,True,3.0,0,0.1255,14.78,23.4,-7.96,neutral,-0.1245,-25.4,13.81,neutral_down,120.37,1932.23
2016-04-30,up,20,3,False,,2,0.1811,42.81,65.9,6.93,distribution,0.3432,33.2,5.81,neutral_up,121.77,2059.73
2016-06-30,down,16,3,True,7.0,2,-0.0072,-15.18,-19.5,-10.11,neutral,0.2387,32.3,0.27,neutral_up,115.66,2096.96
2016-07-31,up,12,2,True,6.0,2,0.1286,46.58,51.4,11.79,neutral_up,0.3309,29.9,10.89,neutral_up,116.61,2098.86
2016-09-30,down,9,2,False,,0,0.0245,4.23,15.0,-4.27,neutral,0.2654,45.5,-1.36,neutral_up,110.68,2170.95
2016-10-31,down,13,2,False,,2,-0.0331,-16.28,-22.0,-5.97,neutral,0.0939,20.5,-4.72,neutral,107.69,2168.27
2016-11-30,up,9,2,True,8.0,0,-0.0991,11.15,-7.4,26.32,neutral,-0.2105,-16.8,-17.89,neutral,103.92,2126.15
2016-11-30,down,3,1,False,,2,-0.104,-37.34,-56.1,-15.51,neutral_down,-0.0332,1.1,-6.73,neutral,103.92,2126.15
2016-12-31,up,7,1,True,4.0,0,0.0857,27.19,49.6,9.51,neutral_up,0.1999,34.7,-0.68,neutral_up,105.8,2198.81
2017-01-31,up,6,1,False,,3,0.0534,20.43,40.9,4.65,neutral_up,0.2547,55.9,-10.22,neutral_up,104.68,2238.83
2017-02-28,up,10,2,True,3.0,1,0.0755,24.56,45.8,12.86,neutral_up,0.3343,65.4,0.76,distribution,101.64,2278.87
