tf,side,entry,exit,stop,htf,tod,n_trades,win_rate,avg_r_gross,avg_r_net,total_r_net,pf_net,t_stat,pos_years_pct,r_2008_2019,r_2020_2026
10m,short,confirm,be_after_1r,atr_1.0,none,0930-1100,1654,30.4,-0.0697,-0.1458,-241.1,0.727,-4.94,11.0,-214.6,-26.5
10m,short,confirm,be_after_1r,atr_1.0,none,1100-1400,3944,29.6,-0.0318,-0.1139,-449.2,0.772,-5.9,16.0,-347.1,-102.1
10m,short,confirm,be_after_1r,atr_1.0,none,1400-1530,1984,27.2,0.0132,-0.0808,-160.4,0.86,-2.37,47.0,-183.8,23.4
10m,short,confirm,be_after_1r,atr_1.5,none,all,7442,33.2,-0.0198,-0.0759,-564.8,0.802,-6.98,11.0,-484.8,-80.0
10m,short,confirm,be_after_1r,atr_1.5,none,0930-1100,1609,35.3,-0.0471,-0.098,-157.6,0.75,-4.41,11.0,-143.6,-14.0
10m,short,confirm,be_after_1r,atr_1.5,none,1100-1400,3787,32.3,-0.026,-0.0808,-306.1,0.773,-5.8,5.0,-229.3,-76.8
10m,short,confirm,be_after_1r,atr_1.5,none,1400-1530,1867,32.6,0.0168,-0.0457,-85.3,0.892,-1.76,32.0,-95.2,9.9
10m,short,pullback,cbc_after_1r,candle_low,none,all,6261,38.2,-0.0469,-0.1425,-892.4,0.779,-8.22,16.0,-767.0,-125.4
10m,short,pullback,cbc_after_1r,candle_low,none,0930-1100,1063,36.5,-0.1152,-0.1931,-205.3,0.71,-4.64,16.0,-163.6,-41.7
10m,short,pullback,cbc_after_1r,candle_low,none,1100-1400,3319,39.0,-0.0348,-0.135,-448.2,0.792,-5.61,11.0,-394.2,-54.0
10m,short,pullback,cbc_after_1r,candle_low,none,1400-1530,1708,37.9,-0.0282,-0.126,-215.3,0.799,-3.81,26.0,-197.4,-17.9
10m,short,pullback,cbc_after_1r,atr_1.0,none,all,6197,39.8,-0.0415,-0.1273,-788.6,0.8,-7.67,16.0,-614.1,-174.5
10m,short,pullback,cbc_after_1r,atr_1.0,none,0930-1100,1071,38.6,-0.1052,-0.1851,-198.2,0.717,-4.92,16.0,-148.7,-49.5
10m,short,pullback,cbc_after_1r,atr_1.0,none,1100-1400,3234,41.3,-0.0308,-0.1132,-366.2,0.82,-4.99,21.0,-300.6,-65.7
10m,short,pullback,cbc_after_1r,atr_1.0,none,1400-1530,1718,38.1,-0.0244,-0.1188,-204.1,0.814,-3.59,32.0,-155.7,-48.4
10m,short,pullback,cbc_after_1r,atr_1.5,none,all,4901,43.0,-0.0255,-0.0822,-402.6,0.852,-5.0,26.0,-308.5,-94.1
10m,short,pullback,cbc_after_1r,atr_1.5,none,0930-1100,1044,40.3,-0.0987,-0.1523,-159.0,0.753,-4.26,16.0,-120.2,-38.8
10m,short,pullback,cbc_after_1r,atr_1.5,none,1100-1400,2505,43.9,-0.0224,-0.0767,-192.2,0.863,-3.39,16.0,-151.5,-40.7
10m,short,pullback,cbc_after_1r,atr_1.5,none,1400-1530,1218,43.8,0.0238,-0.0391,-47.6,0.923,-1.15,26.0,-32.5,-15.1
10m,short,pullback,close_against,candle_low,none,all,6947,30.4,-0.0275,-0.1237,-859.2,0.783,-7.22,11.0,-701.4,-157.8
10m,short,pullback,close_against,candle_low,none,0930-1100,1075,31.4,-0.0788,-0.1566,-168.4,0.705,-4.06,11.0,-130.3,-38.1
10m,short,pullback,close_against,candle_low,none,1100-1400,3780,29.8,-0.0279,-0.1292,-488.3,0.775,-5.42,11.0,-402.4,-85.9
10m,short,pullback,close_against,candle_low,none,1400-1530,1902,30.8,0.0074,-0.0895,-170.3,0.847,-2.67,26.0,-153.2,-17.1
10m,short,pullback,close_against,atr_1.0,none,all,6796,31.6,-0.0232,-0.1085,-737.7,0.799,-6.83,11.0,-619.9,-117.8
10m,short,pullback,close_against,atr_1.0,none,0930-1100,1078,31.4,-0.1,-0.18,-194.0,0.675,-5.19,5.0,-151.9,-42.1
10m,short,pullback,close_against,atr_1.0,none,1100-1400,3654,31.8,-0.023,-0.1049,-383.4,0.792,-5.14,16.0,-308.7,-74.7
10m,short,pullback,close_against,atr_1.0,none,1400-1530,1878,31.2,0.0251,-0.0689,-129.4,0.884,-1.95,37.0,-137.0,7.7
10m,short,pullback,close_against,atr_1.5,none,all,6567,33.7,-0.0185,-0.0753,-494.7,0.804,-6.54,11.0,-404.0,-90.7
10m,short,pullback,close_against,atr_1.5,none,0930-1100,1061,34.1,-0.0735,-0.127,-134.8,0.685,-4.82,16.0,-110.6,-24.2
10m,short,pullback,close_against,atr_1.5,none,1100-1400,3545,33.0,-0.0197,-0.0744,-263.8,0.79,-5.13,11.0,-204.4,-59.4
10m,short,pullback,close_against,atr_1.5,none,1400-1530,1789,34.4,0.0184,-0.0441,-78.8,0.897,-1.7,37.0,-71.9,-6.9
10m,short,pullback,be_after_1r,candle_low,none,all,7019,27.4,-0.0326,-0.1289,-905.0,0.764,-7.82,11.0,-752.5,-152.4
10m,short,pullback,be_after_1r,candle_low,none,0930-1100,1077,29.0,-0.0895,-0.1673,-180.2,0.68,-4.4,11.0,-144.5,-35.8
10m,short,pullback,be_after_1r,candle_low,none,1100-1400,3817,26.7,-0.0307,-0.1322,-504.8,0.759,-5.79,16.0,-413.5,-91.3
10m,short,pullback,be_after_1r,candle_low,none,1400-1530,1931,27.4,0.0006,-0.0965,-186.4,0.826,-3.0,32.0,-178.8,-7.6
10m,short,pullback,be_after_1r,atr_1.0,none,all,6820,29.0,-0.0278,-0.1132,-772.1,0.785,-7.34,11.0,-634.5,-137.6
10m,short,pullback,be_after_1r,atr_1.0,none,0930-1100,1080,28.9,-0.1035,-0.1834,-198.1,0.663,-5.34,5.0,-155.7,-42.4
10m,short,pullback,be_after_1r,atr_1.0,none,1100-1400,3664,29.7,-0.021,-0.103,-377.5,0.792,-5.09,16.0,-302.9,-74.5
10m,short,pullback,be_after_1r,atr_1.0,none,1400-1530,1888,27.5,0.007,-0.087,-164.3,0.848,-2.63,32.0,-154.2,-10.1
10m,short,pullback,be_after_1r,atr_1.5,none,all,6571,32.9,-0.0182,-0.075,-493.1,0.803,-6.54,11.0,-405.4,-87.6
10m,short,pullback,be_after_1r,atr_1.5,none,0930-1100,1061,33.6,-0.0722,-0.1258,-133.4,0.686,-4.78,16.0,-110.3,-23.1
10m,short,pullback,be_after_1r,atr_1.5,none,1100-1400,3546,32.4,-0.0192,-0.0738,-261.9,0.79,-5.1,11.0,-201.5,-60.4
10m,short,pullback,be_after_1r,atr_1.5,none,1400-1530,1792,33.0,0.0176,-0.0449,-80.4,0.893,-1.74,37.0,-76.5,-3.9
10m,short,two_consec,cbc_after_1r,candle_low,none,all,7241,35.1,-0.0516,-0.1691,-1224.2,0.755,-9.68,11.0,-1032.7,-191.6
10m,short,two_consec,cbc_after_1r,candle_low,none,0930-1100,1510,36.4,-0.0772,-0.1759,-265.6,0.742,-4.85,11.0,-196.6,-69.0
10m,short,two_consec,cbc_after_1r,candle_low,none,1100-1400,3677,35.2,-0.0431,-0.1686,-620.1,0.758,-6.74,16.0,-546.2,-73.9
10m,short,two_consec,cbc_after_1r,candle_low,none,1400-1530,1859,34.0,-0.0468,-0.1646,-305.9,0.758,-4.75,21.0,-254.0,-51.9
10m,short,two_consec,cbc_after_1r,atr_1.0,none,all,6669,40.3,-0.0229,-0.1062,-708.4,0.831,-6.49,16.0,-616.0,-92.4
10m,short,two_consec,cbc_after_1r,atr_1.0,none,0930-1100,1502,40.1,-0.0698,-0.146,-219.4,0.77,-4.46,16.0,-161.8,-57.5
10m,short,two_consec,cbc_after_1r,atr_1.0,none,1100-1400,3271,41.4,-0.0144,-0.0959,-313.5,0.846,-4.18,21.0,-281.6,-31.9
10m,short,two_consec,cbc_after_1r,atr_1.0,none,1400-1530,1706,38.5,0.0001,-0.0915,-156.2,0.855,-2.62,37.0,-150.0,-6.2
