date,pdc,atr_14,dn_open_t,up_open_t,up_open_hhmm,reversal_min,dn_closed_first_leg,dn_close_ever,up_close_ever,neither_close_ever,up_close_after,dn_close_after,dn_reopen_after,pdc_revert_after,up_trig_revert_after,first_resolution_after_up,close,close_zone,close_minus_pdc_atr
2019-05-08,2884.05,27.28155859748555,2019-05-08 09:38:00,2019-05-08 11:00:00,11:00,82.0,False,False,False,True,False,False,False,True,True,neither,2879.62,-38.2_to_pdc,-0.16238075197098853
2019-05-15,2834.41,34.87413915395411,2019-05-15 09:30:00,2019-05-15 11:25:00,11:00,115.0,False,False,True,False,True,False,False,False,False,up_close,2851.29,in_up_gate(+38.2..61.8),0.4840262845050389
2019-09-25,2966.6,30.327998679838025,2019-09-25 10:01:00,2019-09-25 12:09:00,12:00,128.0,False,False,True,False,True,False,False,False,True,up_close,2985.09,in_up_gate(+38.2..61.8),0.6096676604082135
2019-10-03,2887.61,34.50010556823561,2019-10-03 10:00:00,2019-10-03 11:19:00,11:00,79.0,True,True,True,False,True,False,False,False,True,up_close,2911.13,above_up_gate(+61.8),0.6817370443542916
2019-12-13,3168.57,21.971355010816723,2019-12-13 09:34:00,2019-12-13 10:02:00,10:00,28.0,False,False,True,False,True,False,True,True,True,up_close,3168.53,-38.2_to_pdc,-0.001820552259078751
2020-03-03,3090.23,64.02165813585441,2020-03-03 09:37:00,2020-03-03 10:00:00,10:00,23.0,True,True,True,False,True,True,True,True,True,up_close,3001.88,below_dn_gate(-61.8),-1.380001745854826
2020-03-19,2398.1,148.49509597041026,2020-03-19 09:39:00,2020-03-19 11:38:00,11:30,119.0,False,False,False,True,False,False,False,True,True,neither,2409.6,pdc_to_+38.2,0.07744363492173194
2020-09-24,3236.92,61.13678183010229,2020-09-24 09:38:00,2020-09-24 12:05:00,12:00,147.0,False,False,True,False,True,False,False,True,True,up_close,3246.51,pdc_to_+38.2,0.15686138054584775
2021-01-06,3726.86,41.43585660761852,2021-01-06 09:30:00,2021-01-06 10:10:00,10:00,40.0,False,False,True,False,True,False,False,False,False,up_close,3748.21,in_up_gate(+38.2..61.8),0.5152542205697863
2021-02-24,3881.37,44.223480623245756,2021-02-24 09:36:00,2021-02-24 11:17:00,11:00,101.0,False,False,True,False,True,False,False,False,False,up_close,3925.76,above_up_gate(+61.8),1.0037654063951502
2021-02-26,3829.34,50.667746047594555,2021-02-26 10:22:00,2021-02-26 12:09:00,12:00,107.0,True,True,True,False,True,False,False,True,True,up_close,3810.81,-38.2_to_pdc,-0.36571589315605463
2021-03-04,3819.72,54.608265693079616,2021-03-04 10:07:00,2021-03-04 11:47:00,11:30,100.0,False,True,False,False,False,True,True,True,True,dn_close,3769.66,below_dn_gate(-61.8),-0.916711039338939
2021-03-05,3768.47,59.30267528643107,2021-03-05 11:14:00,2021-03-05 12:42:00,12:30,88.0,True,True,True,False,True,False,False,False,False,up_close,3841.58,above_up_gate(+61.8),1.2328280241469693
2021-05-06,4167.59,38.187674415455184,2021-05-06 10:03:00,2021-05-06 11:43:00,11:30,100.0,False,False,True,False,True,False,False,False,True,up_close,4200.35,above_up_gate(+61.8),0.8578684222452075
2021-07-07,4343.54,31.100217770296222,2021-07-07 10:44:00,2021-07-07 11:45:00,11:30,61.0,False,False,False,True,False,False,False,False,False,neither,4358.9,in_up_gate(+38.2..61.8),0.49388721691428117
2021-08-19,4400.27,33.793595026172255,2021-08-19 09:30:00,2021-08-19 11:47:00,11:30,137.0,True,True,False,False,False,False,True,True,True,neither,4405.82,pdc_to_+38.2,0.16423230484063453
2021-10-01,4307.54,48.552576876515474,2021-10-01 10:23:00,2021-10-01 11:35:00,11:30,72.0,False,False,True,False,True,False,False,False,False,up_close,4355.01,above_up_gate(+61.8),0.9777029985603328
2021-11-18,4688.67,35.33860618949192,2021-11-18 10:20:00,2021-11-18 12:03:00,12:00,103.0,False,False,False,True,False,False,False,False,True,neither,4704.71,in_up_gate(+38.2..61.8),0.45389452866337227
2022-01-06,4700.58,56.2553649881165,2022-01-06 10:05:00,2022-01-06 12:44:00,12:30,159.0,False,False,False,True,False,False,False,True,True,neither,4696.25,-38.2_to_pdc,-0.07697043652484711
2022-01-11,4670.29,58.120935451491235,2022-01-11 09:41:00,2022-01-11 11:40:00,11:30,119.0,False,False,True,False,True,False,False,False,True,up_close,4712.87,above_up_gate(+61.8),0.7326103695550109
2022-03-08,4201.09,93.63532568545465,2022-03-08 10:07:00,2022-03-08 12:16:00,12:00,129.0,False,False,True,False,True,False,False,True,True,up_close,4170.74,-38.2_to_pdc,-0.32412980654282003
2022-07-28,4023.61,77.15263773339288,2022-07-28 10:22:00,2022-07-28 11:44:00,11:30,82.0,False,False,True,False,True,False,False,False,False,up_close,4071.32,above_up_gate(+61.8),0.6183845608087407
2022-09-08,3979.87,68.79987216051614,2022-09-08 09:30:00,2022-09-08 11:02:00,11:00,92.0,False,False,False,True,False,False,False,True,True,neither,4005.86,pdc_to_+38.2,0.37776232983926605
2022-10-13,3577.03,80.29120814947655,2022-10-13 09:30:00,2022-10-13 11:17:00,11:00,107.0,True,True,True,False,True,False,False,False,True,up_close,3669.48,above_up_gate(+61.8),1.151433664167657
2023-03-13,3861.59,60.27497442774291,2023-03-13 09:30:00,2023-03-13 11:02:00,11:00,92.0,True,True,True,False,True,False,False,True,True,up_close,3855.54,-38.2_to_pdc,-0.10037333167603192
2023-03-16,3891.93,65.38064461288309,2023-03-16 09:31:00,2023-03-16 10:55:00,10:30,84.0,False,False,True,False,True,False,False,False,False,up_close,3959.71,above_up_gate(+61.8),1.0366982522323485
2023-08-25,4376.31,47.87463588493538,2023-08-25 10:59:00,2023-08-25 12:31:00,12:30,92.0,False,False,True,False,True,False,False,False,True,up_close,4405.32,in_up_gate(+38.2..61.8),0.6059576112437407
2023-10-06,4258.19,47.82644846801148,2023-10-06 09:30:00,2023-10-06 11:33:00,11:30,123.0,True,True,True,False,True,False,False,False,False,up_close,4307.89,above_up_gate(+61.8),1.039173963194076
2023-10-23,4224.16,55.19498633849058,2023-10-23 09:35:00,2023-10-23 12:55:00,12:30,200.0,True,True,False,False,False,False,False,True,True,neither,4217.61,-38.2_to_pdc,-0.1186701987718855
2024-07-25,5427.13,56.92628108727861,2024-07-25 10:02:00,2024-07-25 11:12:00,11:00,70.0,True,True,True,False,True,False,True,True,True,up_close,5399.32,in_dn_gate(-38.2..61.8),-0.4885265552014979
2024-11-21,5917.11,58.958824997920935,2024-11-21 10:28:00,2024-11-21 11:29:00,11:00,61.0,False,False,True,False,True,False,False,False,True,up_close,5948.48,in_up_gate(+38.2..61.8),0.5320662343780781
2024-12-20,5867.08,55.74713984081885,2024-12-20 09:30:00,2024-12-20 10:27:00,10:00,57.0,True,True,True,False,True,False,False,False,False,up_close,5932.8,above_up_gate(+61.8),1.1788945619032303
2024-12-23,5930.85,62.46234413790324,2024-12-23 10:10:00,2024-12-23 12:02:00,12:00,112.0,False,False,True,False,True,False,False,False,True,up_close,5972.23,above_up_gate(+61.8),0.6624791395699332
2025-03-05,5778.15,84.7945979977558,2025-03-05 11:43:00,2025-03-05 12:51:00,12:30,68.0,False,False,True,False,True,False,False,False,True,up_close,5840.95,above_up_gate(+61.8),0.7406132169134437
2025-04-01,5611.85,94.31145359021845,2025-04-01 10:07:00,2025-04-01 12:16:00,12:00,129.0,False,False,False,True,False,False,False,True,True,neither,5632.92,pdc_to_+38.2,0.22340870804036672
2025-04-02,5633.07,94.14992119091708,2025-04-02 09:30:00,2025-04-02 12:47:00,12:30,197.0,True,True,True,False,True,False,False,True,True,up_close,5669.25,in_up_gate(+38.2..61.8),0.38428072527681184
2025-04-07,5074.08,124.91896751328179,2025-04-07 09:30:00,2025-04-07 10:12:00,10:00,42.0,True,True,True,False,True,True,True,True,True,up_close,5059.86,-38.2_to_pdc,-0.11383379388312939
2025-11-14,6737.49,75.45743391512782,2025-11-14 09:30:00,2025-11-14 11:28:00,11:00,118.0,True,True,False,False,False,False,False,True,True,neither,6735.1,-38.2_to_pdc,-0.03167348630868651
2025-11-25,6705.12,98.36373328525143,2025-11-25 09:49:00,2025-11-25 12:19:00,12:00,150.0,False,False,True,False,True,False,False,False,False,up_close,6766.1,above_up_gate(+61.8),0.6199439362794474
2026-02-13,6832.76,82.55703776210088,2026-02-13 09:41:00,2026-02-13 11:43:00,11:30,122.0,False,False,False,True,False,False,False,True,True,neither,6835.08,pdc_to_+38.2,0.02810178348071425
